INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,34.783368,-86.568502,0.6538,850
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,33.50223,-86.80917,0.6043,1147
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,32.362609,-86.17401,NULL,NULL
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu,34.722818,-86.63842,0.812,1221
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu,32.364317,-86.295677,0.4639,844
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,33.2144,-87.545766,0.5359,1181
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu,32.924429,-85.94653,NULL,NULL
Athens State University,Athens,AL,35611,www.athens.edu,34.805625,-86.96514,NULL,NULL
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu,32.369939,-86.177351,0.7871,990
Auburn University,Auburn,AL,36849,www.auburn.edu,32.604685,-85.482782,0.7766,1218
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/,33.515453,-86.853636,0.5306,1167
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu,32.42391,-85.031485,NULL,NULL
Concordia College Alabama,Selma,AL,36701,www.ccal.edu/,32.42443,-87.023531,0.4034,NULL
South University-Montgomery,Montgomery,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",32.342684,-86.216488,NULL,NULL
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu,31.297496,-85.836956,NULL,NULL
James H Faulkner State Community College,Bay Minette,AL,36507-2698,www.faulknerstate.edu,30.852045,-87.779758,NULL,NULL
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu,32.384181,-86.21641,0.573,985
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu,33.991866,-85.991299,NULL,NULL
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com,34.27871,-86.196931,NULL,NULL
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu,31.316086,-85.46355,NULL,NULL
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu,34.07341,-86.781745,NULL,NULL
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu,32.445611,-87.01324,NULL,NULL
Herzing University-Birmingham,Birmingham,AL,35209,www.herzing.edu/,33.468105,-86.832299,0.9541,NULL
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu,32.350939,-86.285313,0.5769,992
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu,34.859089,-87.662062,0.7,848
J F Drake State Community and Technical College,Huntsville,AL,35811,www.drakestate.edu,34.772116,-86.573817,NULL,NULL
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,33.822128,-85.766644,0.6665,1062
Jefferson Davis Community College,Brewton,AL,36426,www.jdcc.edu,31.101995,-87.085829,NULL,NULL
